Style,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PrimaryTemp
American Brown Ale,5.91,35.56,21.0,34.0,60,1.042,70.0,3.0,22.0
American Brown Ale,5.61,24.39,21.75,28.39,90,1.04,65.0,1.5,18.89
American Light Lager,10.4,0.0,2.9,28.39,60,1.077,70.0,1.5,20.0
American Stout,4.84,32.97,34.66,28.39,60,1.037,70.0,1.5,21.11
American Amber Ale,5.26,24.85,15.25,19.72,60,1.037,70.0,1.33,21.11
American Brown Ale,5.26,34.09,11.18,28.39,60,1.032,78.0,1.5,18.33
American Amber Ale,5.22,44.95,13.78,25.0,60,1.041,70.0,3.0,19.0
American Amber Ale,8.08,62.32,6.61,41.64,60,1.063,74.0,1.5,20.0
American Light Lager,2.56,22.66,27.57,28.0,90,1.024,28.0,2.5,20.0
American Brown Ale,5.56,18.07,27.4,28.39,60,1.041,75.0,1.5,20.0
American Amber Ale,4.6,27.68,12.4,29.5,60,1.038,80.0,3.2,19.0
American Amber Ale,6.41,69.95,13.12,24.61,60,1.055,65.0,1.25,17.78
American Amber Ale,7.14,37.13,18.59,29.0,60,1.053,70.0,2.5,20.0
American Stout,4.81,137.12,50.0,28.39,60,1.033,35.0,1.5,21.11
American Brown Ale,6.17,41.97,38.2,26.5,60,1.048,75.0,1.25,20.56
American Amber Ale,4.67,47.97,5.89,48.0,90,1.0290000000000001,71.5,4.0,20.0
American Amber Ale,4.93,34.86,11.88,32.18,60,1.036,75.0,1.5,12.22
American Amber Ale,5.93,29.96,9.88,30.28,60,1.044,75.0,1.25,18.33
American Amber Ale,6.86,67.78,16.8,28.39,90,1.054,70.0,1.33,19.44
American Stout,7.36,54.78,9.19,28.39,60,1.062,69.0,1.37,20.0
American Stout,5.98,41.88,45.96,28.39,60,1.05,65.0,1.5,21.11
American Amber Ale,5.51,29.72,15.25,45.42,60,1.051,83.0,1.5,21.11
American Amber Ale,5.27,28.38,10.51,18.93,60,1.055,75.0,1.0,18.33
American Brown Ale,6.99,55.75,21.8,26.5,60,1.053,70.0,1.5,20.0
American Brown Ale,5.52,33.25,16.97,28.39,60,1.038,75.0,1.37,17.78
American Brown Ale,7.25,90.68,28.36,28.39,90,1.0590000000000002,70.0,2.7,20.0
American Stout,7.55,38.55,6.47,47.32,60,1.054,70.0,1.25,19.44
American Light Lager,6.12,22.51,4.22,35.96,90,1.048,75.0,1.5,20.0
American Brown Ale,5.77,35.83,32.55,24.61,60,1.045,65.0,1.3,20.0
American Light Lager,5.02,59.42,41.54,670.0,60,1.0490000000000002,75.0,2.4,21.0
American Brown Ale,4.17,19.62,32.51,32.18,60,1.031,70.0,1.75,20.0
American Light Lager,2.84,12.47,3.31,26.5,60,1.0190000000000001,35.0,1.5,9.44
American Light Lager,5.59,20.2,2.77,23.47,90,1.044,80.0,1.5,20.0
American Light Lager,3.0,37.66,3.84,28.0,60,1.022,35.0,3.0,19.0
American Brown Ale,5.15,29.59,28.03,24.61,60,1.044,65.0,1.25,21.11
American Stout,6.69,43.88,36.78,25.55,60,1.053,65.0,1.33,18.33
American Amber Ale,5.26,36.77,14.33,94.5,80,1.046,70.0,3.0,18.0
American Brown Ale,4.52,35.69,29.85,26.5,60,1.032,55.0,1.5,21.11
American Amber Ale,5.54,30.01,10.29,22.71,60,1.046,70.0,1.5,21.11
American Brown Ale,5.47,42.1,34.99,11.36,60,1.051,65.0,2.6,20.0
American Light Lager,6.37,18.01,3.24,28.39,60,1.0490000000000002,82.0,1.7,18.33
American Light Lager,5.77,16.79,3.19,24.61,60,1.047,80.0,1.5,10.0
American Amber Ale,5.31,37.48,12.64,28.0,60,1.046,70.0,3.0,20.0
American Brown Ale,6.38,35.52,20.61,24.61,60,1.051,70.0,1.4,20.0
American Brown Ale,6.46,25.31,22.56,28.39,70,1.054,70.0,1.5,22.22
American Stout,6.75,54.94,39.49,18.93,66,1.05,76.0,1.5,19.44
American Light Lager,6.84,115.75,3.93,58.0,60,1.058,70.0,3.5,17.0
American Brown Ale,5.65,43.83,32.83,32.18,90,1.04,55.0,1.25,20.0
American Light Lager,5.29,18.26,5.54,49.21,60,1.043,75.0,1.5,20.0
American Amber Ale,5.6,26.12,10.7,25.55,60,1.045,73.0,1.25,18.89
American Brown Ale,7.22,60.63,22.31,28.39,60,1.051,70.0,1.5,19.44
American Brown Ale,4.93,29.42,20.89,28.39,60,1.042,70.0,1.5,20.0
American Amber Ale,5.02,34.76,16.19,45.42,60,1.046,67.0,1.5,21.11
American Stout,5.31,0.0,38.79,6.4,60,1.032,60.0,3.1,24.0
American Amber Ale,5.2,31.8,12.18,24.61,60,1.044,75.0,2.0,20.0
American Brown Ale,5.86,33.45,22.05,30.28,60,1.044,80.0,1.5,20.0
American Stout,4.12,69.1,47.35,28.39,90,1.0290000000000001,35.0,1.5,18.33
American Amber Ale,4.98,36.53,12.12,30.0,90,1.04,77.0,3.0,21.0
American Amber Ale,5.5,37.08,12.46,49.21,60,1.044,70.0,1.5,20.0
American Brown Ale,9.51,50.8,23.84,24.61,60,1.077,70.0,1.5,18.33
American Amber Ale,5.3,29.77,12.67,100.0,90,1.042,75.0,3.0,18.0
American Brown Ale,4.69,19.71,26.66,28.39,60,1.031,70.0,1.25,20.0
American Amber Ale,6.65,36.97,10.54,24.61,60,1.053,75.0,1.5,20.0
American Amber Ale,7.46,102.14,8.72,26.5,60,1.055,70.0,1.5,18.33
American Brown Ale,6.35,62.98,29.12,28.39,60,1.0490000000000002,69.0,1.5,21.11
American Amber Ale,5.74,35.51,16.77,55.0,60,1.052,60.0,3.0,19.0
American Amber Ale,5.88,19.13,9.19,58.0,80,1.042,65.0,3.0,18.0
American Stout,6.86,67.97,50.0,24.61,90,1.054,70.0,1.5,17.78
American Brown Ale,5.18,17.8,21.13,49.21,60,1.0490000000000002,75.0,1.5,18.33
American Amber Ale,7.36,7.84,24.82,47.7,60,1.062,75.0,1.125,18.33
American Amber Ale,5.23,56.34,16.71,51.1,60,1.045,75.0,1.36,17.78
American Amber Ale,5.43,29.96,17.6,29.34,90,1.043,72.0,1.5,21.0
American Brown Ale,7.0,52.12,27.25,22.4,90,1.055,71.0,4.16,19.4
American Brown Ale,11.24,81.63,28.59,45.42,60,1.095,75.0,1.5,18.33
American Light Lager,7.4,44.0,5.25,55.0,90,1.067,75.0,2.8,20.0
American Brown Ale,6.07,33.4,20.43,14.0,60,1.043,60.0,2.7,20.0
American Amber Ale,8.45,33.59,22.73,30.28,60,1.074,78.0,1.5,22.22
American Brown Ale,5.89,26.41,19.95,65.0,60,1.046,65.0,3.0,20.0
American Light Lager,10.32,43.55,5.15,28.39,90,1.081,75.0,1.0,12.78
American Stout,6.4,43.06,39.71,28.39,60,1.048,75.0,1.25,20.0
American Brown Ale,3.1,12.89,13.43,43.53,90,1.0270000000000001,75.0,11.5,18.33
American Stout,6.76,47.57,44.01,1850.0,60,1.064,80.0,3.0,17.0
American Stout,4.8,12.09,31.35,28.39,90,1.036,75.0,1.5,21.11
American Amber Ale,5.11,40.76,14.68,28.39,90,1.037,68.0,1.5,18.89
American Amber Ale,3.57,13.4,12.48,30.28,30,1.025,75.0,1.5,23.89
American Stout,5.68,70.89,44.52,28.0,60,1.045,68.0,1.5,19.0
American Stout,6.68,41.1,43.36,50.0,150,1.057,68.0,3.0,18.0
American Amber Ale,4.99,34.67,14.13,23.0,60,1.046,68.0,2.9,20.0
American Amber Ale,6.24,83.49,11.26,24.0,60,1.0490000000000002,70.0,3.0,20.0
American Brown Ale,6.0,65.77,20.88,22.0,60,1.045,69.0,3.0,20.0
American Amber Ale,4.78,31.73,17.09,28.39,60,1.037,60.0,1.25,22.78
American Amber Ale,6.21,37.59,13.59,26.5,60,1.042,60.0,1.5,22.22
American Amber Ale,4.53,37.21,15.76,28.39,60,1.037,72.0,1.38,18.33
American Stout,9.7,65.33,46.91,47.32,60,1.083,81.0,1.25,18.33
American Brown Ale,6.12,40.94,21.36,26.5,60,1.0490000000000002,70.0,1.5,22.22
American Brown Ale,5.52,30.29,26.85,28.39,60,1.043,68.0,1.5,21.11
American Amber Ale,5.37,33.94,15.83,28.39,60,1.0390000000000001,65.0,1.5,18.33
American Stout,6.7,58.63,50.0,54.89,60,1.0590000000000002,75.0,1.5,20.0
American Amber Ale,6.89,68.16,11.87,28.39,60,1.045,60.0,1.5,20.0
American Amber Ale,5.57,35.96,13.3,26.5,60,1.045,70.0,1.5,20.0
American Stout,6.23,51.23,46.45,26.5,60,1.042,60.0,1.5,21.11
American Brown Ale,5.7,28.22,22.28,170.0,60,1.054,75.0,3.0,19.0
American Light Lager,5.21,48.66,3.31,32.0,90,1.0390000000000001,75.0,2.6,9.0
American Stout,4.63,25.39,37.69,28.39,60,1.031,72.0,1.5,22.22
American Amber Ale,4.77,26.67,18.02,29.53,60,1.036,68.0,1.25,20.0
American Amber Ale,6.51,52.01,17.93,28.39,60,1.053,70.0,3.2,18.33
American Stout,6.12,38.71,35.59,45.42,60,1.054,78.0,1.5,22.22
American Amber Ale,4.81,23.95,4.46,28.39,75,1.034,70.0,2.0,21.11
American Brown Ale,5.15,23.83,19.46,70.03,60,1.041,70.0,1.35,18.33
American Amber Ale,5.35,58.13,16.6,17.03,60,1.07,70.0,1.0,21.11
American Light Lager,5.16,29.46,11.42,23.0,60,1.044,70.0,3.1,22.0
American Amber Ale,9.95,63.97,27.1,26.65,60,1.067,65.0,1.4,18.33
American Amber Ale,5.67,36.81,11.62,28.39,60,1.035,52.0,1.3,20.0
American Stout,6.11,31.25,28.22,28.5,60,1.048,70.0,2.9,20.0
American Light Lager,9.3,49.88,9.95,43.0,30,1.063,65.0,3.0,17.0
American Stout,7.09,58.78,38.43,28.39,60,1.0490000000000002,70.0,1.5,18.33
American Brown Ale,5.39,36.88,18.53,28.5,60,1.041,72.0,3.0,17.0
American Stout,5.07,28.45,38.11,26.5,60,1.044,70.0,1.25,20.0
American Brown Ale,5.09,34.79,18.68,28.5,60,1.043,77.0,3.0,20.0
American Amber Ale,5.18,30.53,15.75,22.71,60,1.045,70.0,1.5,20.0
American Amber Ale,7.23,64.45,16.47,24.61,90,1.061,70.0,1.5,19.44
American Stout,8.88,76.08,46.58,24.61,60,1.071,65.0,1.25,18.33
American Amber Ale,4.87,39.96,11.04,27.44,60,1.041,61.0,1.5,19.44
American Brown Ale,5.18,47.2,15.11,28.39,60,1.035,70.0,1.5,20.0
American Brown Ale,5.53,38.78,22.15,28.5,60,1.04,74.0,3.0,19.0
American Stout,6.0,46.71,34.91,22.71,60,1.051,86.0,1.2,19.44
American Amber Ale,5.51,20.29,13.61,49.21,60,1.045,75.0,1.32,20.0
American Amber Ale,5.6,39.14,15.02,28.39,60,1.046,65.0,1.5,17.78
American Amber Ale,5.07,35.1,11.14,28.39,90,1.038,70.0,1.2,20.0
American Brown Ale,5.15,37.67,22.25,47.32,60,1.047,70.0,1.5,20.0
American Amber Ale,5.17,84.1,7.86,28.4,60,1.038,70.0,3.1,22.0
American Light Lager,10.2,37.51,5.1,28.39,60,1.069,70.0,1.5,15.56
American Stout,6.84,81.97,50.0,28.5,60,1.046,70.0,3.0,19.0
American Stout,6.44,43.06,38.19,46.0,65,1.0859999999999999,46.0,3.0,20.0
American Amber Ale,5.36,29.52,11.11,26.5,60,1.047,73.0,1.5,16.67
American Amber Ale,5.87,37.27,12.66,28.5,60,1.04,73.0,3.0,18.0
American Amber Ale,5.57,39.88,14.66,51.1,60,1.048,74.0,1.5,18.33
American Stout,5.33,48.68,39.31,36.34,90,1.037,72.0,1.5,19.44
American Amber Ale,5.9,81.01,14.87,28.39,60,1.04,70.0,1.5,18.89
American Light Lager,4.86,0.0,16.0,24.61,60,1.038,65.0,1.4,15.56
American Amber Ale,8.36,102.37,12.5,24.98,60,1.063,70.0,1.5,18.33
American Amber Ale,1.35,15.79,8.42,28.39,60,1.01,35.0,1.5,20.0
American Brown Ale,5.9,38.78,34.36,30.28,60,1.043,65.0,1.25,21.11
American Brown Ale,4.43,24.6,30.01,28.5,60,1.041,60.0,3.0,23.0
American Amber Ale,5.58,68.87,9.78,22.71,60,1.0490000000000002,75.0,1.5,21.11
American Light Lager,6.39,34.09,5.97,28.39,60,1.048,70.0,1.43,18.33
American Amber Ale,8.46,100.53,13.56,28.39,60,1.058,75.0,1.5,20.56
American Stout,6.53,39.17,38.0,26.5,60,1.058,65.0,1.5,18.33
American Light Lager,5.1,22.6,3.5,520.0,75,1.043,70.0,3.0,14.0
American Stout,6.2,28.44,44.05,70.0,60,1.061,75.0,54.0,19.0
American Light Lager,6.95,106.28,4.78,89.0,60,1.0490000000000002,68.0,5.2,20.0
American Stout,6.55,31.78,34.8,32.18,90,1.052,80.0,2.0,18.33
American Amber Ale,5.11,28.24,15.97,24.61,60,1.037,70.0,1.5,20.0
American Brown Ale,5.43,27.13,25.0,28.39,75,1.051,80.0,1.25,20.0
American Light Lager,6.03,39.69,8.58,28.39,60,1.0490000000000002,70.0,1.5,20.0
American Brown Ale,8.25,34.7,39.72,28.39,60,1.061,70.0,1.25,20.0
American Light Lager,4.14,19.83,2.67,26.5,60,1.033,75.0,2.0,11.11
American Stout,7.5,92.26,50.0,32.18,90,1.054,71.5,2.26,18.89
American Amber Ale,5.37,42.21,20.49,22.0,60,1.04,62.0,3.0,19.0
American Stout,7.15,62.73,50.0,45.42,60,1.069,64.0,1.25,21.11
American Amber Ale,4.88,68.61,5.81,23.0,60,1.053,70.0,3.1,18.0
American Amber Ale,6.24,83.49,11.26,24.0,60,1.0490000000000002,70.0,3.0,20.0
American Amber Ale,2.88,52.08,9.84,28.39,60,1.02,35.0,1.5,20.0
American Amber Ale,5.66,33.69,15.07,32.0,60,1.042,73.0,2.5,20.0
American Amber Ale,5.24,17.47,14.57,24.61,60,1.034,71.0,1.83,17.78
American Amber Ale,5.24,29.0,15.79,28.39,60,1.038,70.0,1.5,21.11
American Stout,6.88,38.7,48.12,28.5,60,1.053,73.0,3.0,20.0
American Amber Ale,8.21,65.58,25.78,30.28,60,1.063,63.0,1.25,18.33
American Light Lager,5.07,25.08,3.59,28.39,60,1.037,70.0,1.33,20.0
American Stout,4.66,11.47,50.0,42.0,60,1.0490000000000002,75.0,2.5,20.0
American Brown Ale,6.01,28.21,26.5,28.5,60,1.037,75.0,3.0,19.5
American Amber Ale,5.43,38.94,15.22,24.61,60,1.044,70.0,1.5,16.67
American Stout,5.93,15.63,45.69,28.0,60,1.046,75.0,1.5,16.0
American Amber Ale,6.5,39.23,10.22,27.44,60,1.042,60.0,1.5,23.33
American Light Lager,4.0,16.0,1.99,40.0,60,1.0390000000000001,85.0,3.0,27.0
American Amber Ale,5.68,29.6,14.86,53.0,60,1.05,85.0,1.5,18.89
American Brown Ale,5.03,71.12,17.26,34.0,90,1.035,65.0,2.6,19.0
American Stout,7.84,51.42,34.46,15.14,90,1.028,60.0,1.5,21.11
American Brown Ale,7.77,50.92,25.17,28.39,60,1.058,75.0,1.5,21.11
American Amber Ale,5.46,37.22,12.25,32.18,90,1.042,75.0,1.5,20.0
American Brown Ale,5.9,40.11,27.49,24.11,60,1.046,75.0,1.33,18.89
American Amber Ale,7.5,101.8,14.84,53.0,60,1.058,70.0,1.5,21.11
American Stout,6.64,62.63,39.86,24.61,90,1.057,70.0,1.25,17.78
American Amber Ale,5.34,48.38,14.81,4.73,60,1.045,70.0,1.5,22.78
American Brown Ale,6.18,66.73,21.43,6.5,60,1.04,70.0,3.1,20.0
American Light Lager,9.12,42.72,21.47,17.03,60,1.061,72.0,1.25,20.0
American Amber Ale,5.76,32.79,12.5,28.39,60,1.05,68.0,1.25,20.0
American Light Lager,4.32,9.34,2.64,55.0,60,1.04,70.0,3.0,19.0
American Brown Ale,5.81,31.89,41.29,24.23,60,1.048,70.0,1.25,17.78
American Amber Ale,5.46,25.34,13.1,28.39,60,1.0390000000000001,70.0,1.5,21.11
American Light Lager,5.1,11.54,12.38,13.25,60,1.044,70.0,1.25,15.56
American Amber Ale,8.03,51.01,37.0,24.61,90,1.06,35.0,1.5,22.22
American Amber Ale,6.22,40.16,18.18,47.32,90,1.0490000000000002,70.0,1.5,22.22
American Light Lager,3.76,10.76,2.47,20.82,60,1.032,73.0,3.0,12.78
American Amber Ale,5.95,24.79,10.01,27.44,60,1.045,70.0,1.4,20.0
American Amber Ale,5.35,30.31,14.55,28.39,90,1.042,80.0,1.36,18.33
American Amber Ale,5.95,125.91,16.03,28.39,60,1.041,70.0,1.5,17.78
American Amber Ale,4.82,31.69,12.74,32.0,60,1.0390000000000001,75.0,5.0,18.0
American Light Lager,5.94,46.94,9.84,26.5,70,1.048,75.0,1.35,17.78
American Amber Ale,5.71,32.42,14.27,7.0,60,1.033,75.0,4.1,22.0
American Brown Ale,4.47,12.32,18.27,28.39,60,1.037,75.0,1.25,18.89
American Amber Ale,5.31,27.26,9.96,29.0,60,1.043,75.0,3.5,20.0
American Stout,6.23,64.53,42.54,30.0,60,1.045,70.0,1.5,20.0
American Light Lager,5.52,71.03,3.96,30.28,60,1.0490000000000002,70.0,1.5,18.33
American Light Lager,7.19,29.52,9.0,28.5,60,1.042,70.0,2.8,15.0
American Amber Ale,6.54,41.78,16.22,80.0,60,1.053,66.0,3.0,22.0
American Light Lager,4.85,61.41,22.86,25.0,60,1.035,75.0,2.5,19.0
American Stout,6.61,39.1,35.78,28.5,75,1.052,78.0,3.0,19.0
American Amber Ale,5.32,44.28,10.12,32.18,60,1.038,70.0,1.5,20.0
American Amber Ale,6.57,63.18,6.64,28.39,60,1.042,75.0,1.25,21.11
American Amber Ale,5.37,35.04,13.55,53.0,60,1.043,75.0,1.5,20.0
American Stout,5.07,37.77,31.7,28.39,60,1.04,70.0,1.5,18.33
American Brown Ale,5.85,17.43,22.73,26.5,60,1.053,65.0,1.33,21.11
American Amber Ale,5.59,39.15,10.25,1520.0,60,1.051,70.0,3.0,18.0
American Stout,8.95,54.45,8.22,49.21,60,1.075,75.0,1.2,20.0
American Amber Ale,5.91,36.56,12.78,26.0,60,1.042,70.0,2.5,22.0
American Stout,6.11,45.23,36.92,43.53,60,1.054,72.0,1.38,20.0
American Stout,5.7,18.2,38.06,17.03,60,1.065,70.0,1.3,-7.22
American Amber Ale,6.89,34.87,14.61,28.5,60,1.0490000000000002,83.0,3.0,20.0
American Stout,5.88,34.84,39.2,28.39,60,1.046,75.0,1.5,21.11
American Amber Ale,5.36,33.94,16.04,28.5,60,1.047,70.0,3.0,22.0
American Amber Ale,5.86,39.53,11.39,27.44,60,1.041,61.0,1.5,20.0
American Brown Ale,5.12,28.94,19.17,27.44,60,1.036,70.0,1.5,17.78
American Light Lager,5.91,96.37,7.38,26.5,60,1.047,65.0,1.5,20.0
American Stout,6.79,42.71,36.29,45.0,60,1.057,75.0,2.0,18.0
American Amber Ale,5.33,26.61,11.65,33.0,60,1.035,83.0,3.0,18.0
American Stout,5.05,32.39,24.32,28.39,60,1.0390000000000001,70.0,1.5,21.11
American Amber Ale,4.81,44.0,10.01,26.0,60,1.042,70.0,3.0,20.0
American Stout,5.56,22.51,40.0,30.28,60,1.042,70.0,1.5,15.56
American Amber Ale,6.65,28.4,10.38,28.39,60,1.04,70.0,1.25,20.0
American Stout,6.21,83.85,50.0,28.39,70,1.042,63.0,1.5,20.0
American Brown Ale,4.5,26.7,34.46,32.0,60,1.042,60.0,3.0,20.0
American Amber Ale,5.91,36.79,11.37,75.0,90,1.044,70.0,3.0,21.0
American Light Lager,9.1,108.1,22.33,27.0,60,1.062,70.0,2.7,19.0
American Amber Ale,2.89,0.0,13.67,28.39,90,1.021,35.0,1.5,17.22
American Stout,6.58,68.11,50.0,24.61,60,1.052,65.0,1.33,20.0
American Amber Ale,5.75,47.16,11.93,45.0,60,1.053,65.0,3.1,20.0
American Light Lager,5.96,32.08,5.76,23.0,60,1.046,70.0,3.0,18.0
American Stout,5.78,56.08,33.08,22.71,60,1.05,77.0,1.0,20.56
American Brown Ale,5.05,19.19,23.11,26.5,60,1.037,65.0,1.25,18.33
American Brown Ale,4.85,36.18,29.69,28.39,60,1.038,70.0,1.5,20.0
American Amber Ale,5.63,92.51,7.9,30.0,90,1.047,70.0,3.0,20.0
American Brown Ale,5.73,38.1,26.4,18.0,60,1.03,70.0,3.0,19.0
American Brown Ale,5.37,37.93,27.06,26.5,60,1.044,70.0,1.25,22.22
American Brown Ale,8.05,58.84,28.6,49.21,60,1.068,70.0,1.5,18.33
American Amber Ale,6.06,32.24,11.22,25.55,60,1.041,59.0,1.5,20.0
American Stout,6.92,40.53,36.75,28.39,60,1.057,83.0,1.5,20.0
American Light Lager,5.39,0.0,30.56,23.47,60,1.043,75.0,1.4,20.0
American Brown Ale,2.36,23.93,16.32,28.39,60,1.02,35.0,1.5,20.56
American Brown Ale,4.87,26.86,18.27,28.39,60,1.036,72.0,1.5,20.0
American Amber Ale,5.26,25.66,15.84,28.39,60,1.037,35.0,1.5,18.33
American Amber Ale,5.37,23.46,10.83,46.0,60,1.068,55.0,3.0,20.0
American Amber Ale,4.75,27.0,7.12,13.25,60,1.077,35.0,1.5,21.11
American Amber Ale,7.87,36.51,12.64,36.0,60,1.065,65.0,3.0,18.0
American Light Lager,5.14,34.6,10.62,28.5,60,1.035,80.0,3.0,18.0
American Stout,5.12,39.86,42.96,32.0,60,1.042,70.0,4.5,17.0
American Amber Ale,5.92,37.42,16.27,22.0,60,1.044,60.0,3.0,19.0
American Brown Ale,5.76,32.95,20.65,20.82,60,1.044,65.0,1.5,18.89
American Light Lager,13.56,45.51,14.96,26.5,60,1.1079999999999999,75.0,1.5,18.33
American Stout,5.19,38.41,36.28,15.14,60,1.045,70.0,1.5,18.89
American Stout,5.76,60.06,40.4,55.0,80,1.047,75.0,5.0,18.0
American Amber Ale,5.13,38.17,9.81,48.0,60,1.037,70.0,2.5,22.0
American Stout,6.55,40.96,33.39,52.0,90,1.051,70.0,3.0,18.0
American Brown Ale,7.33,30.69,23.56,190.0,60,1.065,68.0,2.0,18.0
American Light Lager,5.26,22.88,3.77,56.78,60,1.052,70.0,1.5,10.0
American Amber Ale,5.35,25.52,12.55,24.61,60,1.041,75.0,2.0,16.94
American Amber Ale,6.24,31.49,8.91,28.39,60,1.0390000000000001,85.0,1.5,22.22
American Light Lager,6.02,25.97,16.21,26.5,60,1.057,75.0,1.5,18.33
American Amber Ale,5.5,41.47,10.93,25.74,90,1.041,70.0,1.25,20.0
American Light Lager,4.49,43.29,4.47,10.0,60,1.05,70.0,5.0,20.0
American Light Lager,7.18,17.65,6.43,13.25,60,1.02,70.0,1.5,18.89
American Brown Ale,5.58,21.13,18.42,28.39,90,1.04,74.0,3.21,20.0
American Stout,8.85,46.93,50.0,18.93,60,1.089,70.0,1.25,20.0
American Light Lager,5.88,10.84,7.68,11.6,60,1.0190000000000001,75.0,6.3,20.0
American Stout,6.59,63.6,39.3,33.12,75,1.044,76.0,1.3,20.0
American Amber Ale,4.27,28.39,13.24,13.25,60,1.032,80.0,4.0,20.0
American Light Lager,4.31,62.58,11.06,25.0,60,1.04,68.0,2.7,18.0
American Amber Ale,5.01,36.25,14.03,30.0,60,1.0390000000000001,65.0,4.0,20.0
American Stout,6.14,44.76,48.08,24.61,60,1.051,60.0,1.5,19.44
American Amber Ale,6.14,25.56,15.28,24.61,60,1.045,80.0,1.33,17.78
American Amber Ale,5.61,52.8,10.4,28.39,60,1.041,73.0,1.25,20.0
American Stout,6.51,81.17,42.04,49.0,90,1.05,69.0,3.0,19.0
American Brown Ale,6.03,26.87,23.95,28.5,60,1.04,70.0,3.0,21.0
American Light Lager,6.76,17.87,4.07,68.14,60,1.058,78.0,1.5,20.0
American Stout,5.05,33.51,49.12,18.93,60,1.037,71.0,1.5,20.0
American Light Lager,5.77,58.44,6.11,24.61,60,1.0490000000000002,70.0,1.5,19.44
American Amber Ale,5.82,34.24,15.66,26.5,60,1.045,70.0,1.5,21.11
American Brown Ale,4.77,37.93,23.09,25.7,65,1.043,78.0,5.0,17.0
American Light Lager,16.9,0.0,50.0,26.0,60,1.115,70.0,3.0,18.0
American Amber Ale,6.71,21.6,19.24,28.39,60,1.047,80.0,1.5,21.11
American Stout,5.82,17.78,42.41,42.0,60,1.047,70.0,3.0,22.0
American Light Lager,4.08,0.0,2.9,45.0,60,1.031,60.0,3.0,11.0
American Light Lager,6.4,64.92,6.07,28.0,60,1.0590000000000002,71.0,3.0,18.0
American Brown Ale,6.18,68.99,24.02,25.55,65,1.0490000000000002,78.0,1.25,18.33
American Amber Ale,5.87,46.17,13.41,28.39,60,1.0390000000000001,75.0,1.25,21.11
American Brown Ale,6.91,71.4,19.43,17.03,60,1.044,60.0,1.25,18.89
American Amber Ale,5.91,35.35,16.97,25.55,60,1.047,70.0,1.5,20.0
American Brown Ale,5.67,52.88,23.07,32.18,60,1.04,70.0,1.5,21.11
American Amber Ale,5.84,35.75,7.51,26.9,60,1.041,75.0,3.0,20.0
American Amber Ale,5.16,35.14,15.71,30.0,60,1.043,70.0,3.0,22.0
American Light Lager,7.24,8.03,5.68,32.18,60,1.0590000000000002,60.0,1.5,20.0
American Brown Ale,6.18,36.87,23.84,27.44,60,1.04,60.0,1.5,21.11
American Amber Ale,6.37,46.07,18.7,26.5,60,1.048,70.0,1.25,16.67
American Light Lager,10.07,30.04,50.0,71.92,60,1.083,75.0,1.5,20.0
American Light Lager,6.04,27.76,50.0,408.82,60,1.067,75.0,1.5,20.0
American Amber Ale,5.42,12.59,11.5,27.0,60,1.044,75.0,3.0,20.0
American Amber Ale,5.78,37.59,10.95,28.39,60,1.041,75.0,1.5,20.0
American Amber Ale,7.42,67.87,20.04,8.0,60,1.0390000000000001,70.0,1.5,19.0
American Light Lager,3.72,7.05,2.75,22.71,60,1.033,70.0,1.1,8.33
American Amber Ale,5.86,45.34,13.72,25.0,90,1.048,70.0,3.0,18.0
American Brown Ale,5.55,37.06,25.3,24.11,60,1.043,65.0,1.25,18.33
American Brown Ale,4.48,20.37,29.44,28.39,60,1.033,70.0,1.5,19.44
American Stout,7.38,31.95,40.0,28.39,60,1.054,65.0,1.5,20.0
American Brown Ale,6.14,32.12,21.52,25.74,60,1.046,72.0,1.5,20.0
American Light Lager,5.62,92.8,5.0,68.0,60,1.048,55.0,3.0,21.0
American Stout,6.84,66.47,37.28,23.0,60,1.064,75.0,3.75,18.0
American Brown Ale,4.9,37.76,19.5,28.39,60,1.036,60.0,1.0,21.11
American Stout,6.26,40.55,30.57,48.0,60,1.051,72.0,3.1,15.0
American Light Lager,4.26,55.79,3.28,20.0,60,1.038,75.0,5.1,23.0
American Amber Ale,6.01,26.43,12.84,17.0,60,1.0490000000000002,60.0,3.0,18.0
American Light Lager,9.08,43.44,6.13,12.76,90,1.063,75.0,1.33,21.11
American Stout,6.04,36.38,37.31,22.71,60,1.054,70.0,1.5,17.22
American Light Lager,1.41,125.91,2.09,28.39,60,1.0090000000000001,35.0,1.5,21.11
American Stout,5.01,60.9,50.0,28.39,60,1.034,35.0,0.9,18.89
American Amber Ale,4.99,66.61,15.88,540.0,60,1.042,76.0,3.0,21.0
American Stout,6.84,50.36,42.46,94.64,90,1.061,80.0,1.25,18.33
American Amber Ale,5.03,19.72,13.29,9.46,60,1.052,65.0,1.5,21.11
American Amber Ale,4.63,32.42,15.7,30.28,60,1.038,80.0,1.5,17.78
American Brown Ale,5.35,40.09,23.34,12.11,60,1.041,70.0,1.5,18.33
American Light Lager,10.4,0.0,3.63,24.0,60,1.072,70.0,3.0,18.0
American Amber Ale,5.28,36.75,12.95,28.39,60,1.041,70.0,1.5,21.11
American Amber Ale,5.68,35.99,15.39,15.0,60,1.0759999999999998,65.0,2.5,20.0
American Brown Ale,5.9,24.96,23.94,22.71,60,1.05,84.0,1.33,21.11
